State,County,City,ZIP Code,Estimated Population,Zone ID,Zone Target Pop,Status,Showcase Business Name,Showcase Street,Showcase City,Showcase State,Showcase Zip
PA,McKean,Lewis Run,16738,2679,HAR-A,977084,Available,,,,,
PA,McKean,Mount Jewett,16740,1032,HAR-A,977084,Available,,,,,
PA,McKean,Port Allegany,16743,3942,HAR-A,977084,Available,,,,,
PA,McKean,Rew,16744,332,HAR-A,977084,Available,,,,,
PA,McKean,Rixford,16745,611,HAR-A,977084,Available,,,,,
PA,Potter,Roulette,16746,1265,HAR-A,977084,Available,,,,,
PA,Potter,Shinglehouse,16748,2997,HAR-A,977084,Available,,,,,
PA,McKean,Smethport,16749,4319,HAR-A,977084,Available,,,,,
PA,McKean,Turtlepoint,16750,417,HAR-A,977084,Available,,,,,
PA,Centre,State College,16801,42812,HAR-A,977084,Available,,,,,
PA,Centre,University Park,16802,12764,HAR-A,977084,Available,,,,,
PA,Centre,State College,16803,23685,HAR-A,977084,Available,,,,,
PA,Centre,Aaronsburg,16820,1217,HAR-A,977084,Available,,,,,
PA,Clearfield,Allport,16821,318,HAR-A,977084,Available,,,,,
PA,Clinton,Beech Creek,16822,2283,LAN-A,977084,Available,,,,,
PA,Centre,Bellefonte,16823,26617,HAR-A,977084,Available,,,,,
PA,Clearfield,Bigler,16825,240,HAR-A,977084,Available,,,,,
PA,Centre,Blanchard,16826,616,HAR-A,977084,Available,,,,,
PA,Centre,Boalsburg,16827,3991,HAR-A,977084,Available,,,,,
PA,Centre,Centre Hall,16828,4478,HAR-A,977084,Available,,,,,
PA,Centre,Clarence,16829,666,HAR-A,977084,Available,,,,,
PA,Clearfield,Clearfield,16830,13695,HAR-A,977084,Available,,,,,
PA,Centre,Coburn,16832,510,HAR-A,977084,Available,,,,,
PA,Clearfield,Curwensville,16833,5342,HAR-A,977084,Available,,,,,
PA,Clearfield,Drifting,16834,299,HAR-A,977084,Available,,,,,
PA,Centre,Fleming,16835,238,HAR-A,977084,Available,,,,,
PA,Clearfield,Frenchville,16836,1152,HAR-A,977084,Available,,,,,
PA,Clearfield,Glen Richey,16837,186,HAR-A,977084,Available,,,,,
PA,Clearfield,Grampian,16838,1821,HAR-A,977084,Available,,,,,
PA,Clearfield,Grassflat,16839,489,HAR-A,977084,Available,,,,,
PA,Clearfield,Hawk Run,16840,510,HAR-A,977084,Available,,,,,
PA,Centre,Howard,16841,5934,HAR-A,977084,Available,,,,,
